"Notes","County of Residence","County of Residence Code","Year","Year Code",Births,Average Birth Weight (grams)
,"Atlantic County, NJ","34001","2023","2023",2750,3258.31
,"Atlantic County, NJ","34001","2024","2024",2724,3267.44
,"Bergen County, NJ","34003","2016","2016",9464,3243.36
,"Bergen County, NJ","34003","2017","2017",9339,3255.47
,"Bergen County, NJ","34003","2018","2018",9152,3244.59
,"Bergen County, NJ","34003","2019","2019",9006,3258.49
,"Bergen County, NJ","34003","2020","2020",8653,3258.27
,"Bergen County, NJ","34003","2021","2021",9127,3257.42
,"Bergen County, NJ","34003","2022","2022",9317,3248.97
,"Bergen County, NJ","34003","2023","2023",8897,3248.93
,"Bergen County, NJ","34003","2024","2024",9019,3238.38
,"Burlington County, NJ","34005","2016","2016",4419,3305.61
,"Burlington County, NJ","34005","2017","2017",4424,3288.70
,"Burlington County, NJ","34005","2018","2018",4365,3294.48
,"Burlington County, NJ","34005","2019","2019",4419,3297.45
,"Burlington County, NJ","34005","2020","2020",4376,3304.03
,"Burlington County, NJ","34005","2021","2021",4655,3301.97
,"Burlington County, NJ","34005","2022","2022",4733,3289.21
,"Burlington County, NJ","34005","2023","2023",4689,3261.53
,"Burlington County, NJ","34005","2024","2024",4571,3272.23
,"Camden County, NJ","34007","2016","2016",6226,3249.50
,"Camden County, NJ","34007","2017","2017",6022,3239.50
,"Camden County, NJ","34007","2018","2018",6157,3254.00
,"Camden County, NJ","34007","2019","2019",6123,3246.79
,"Camden County, NJ","34007","2020","2020",5933,3241.29
,"Camden County, NJ","34007","2021","2021",6323,3257.19
,"Camden County, NJ","34007","2022","2022",6124,3244.56
,"Camden County, NJ","34007","2023","2023",5907,3222.51
,"Camden County, NJ","34007","2024","2024",5883,3226.83
,"Cumberland County, NJ","34011","2016","2016",1876,3196.49
,"Cumberland County, NJ","34011","2017","2017",1839,3202.70
,"Cumberland County, NJ","34011","2018","2018",1917,3203.61
,"Cumberland County, NJ","34011","2019","2019",1832,3194.32
,"Cumberland County, NJ","34011","2020","2020",1819,3212.09
,"Cumberland County, NJ","34011","2021","2021",1785,3201.58
,"Cumberland County, NJ","34011","2022","2022",1831,3172.42
,"Cumberland County, NJ","34011","2023","2023",1817,3177.75
,"Cumberland County, NJ","34011","2024","2024",1810,3200.45
,"Essex County, NJ","34013","2016","2016",10442,3208.11
,"Essex County, NJ","34013","2017","2017",10298,3212.17
,"Essex County, NJ","34013","2018","2018",10425,3206.80
,"Essex County, NJ","34013","2019","2019",9917,3203.93
,"Essex County, NJ","34013","2020","2020",9652,3212.13
,"Essex County, NJ","34013","2021","2021",9723,3209.36
,"Essex County, NJ","34013","2022","2022",10147,3206.03
,"Essex County, NJ","34013","2023","2023",9805,3209.67
,"Essex County, NJ","34013","2024","2024",9982,3207.52
,"Gloucester County, NJ","34015","2016","2016",2837,3321.92
,"Gloucester County, NJ","34015","2017","2017",2891,3279.81
,"Gloucester County, NJ","34015","2018","2018",2762,3326.53
,"Gloucester County, NJ","34015","2019","2019",2923,3292.34
,"Gloucester County, NJ","34015","2020","2020",2727,3299.44
,"Gloucester County, NJ","34015","2021","2021",3014,3307.36
,"Gloucester County, NJ","34015","2022","2022",3050,3285.50
,"Gloucester County, NJ","34015","2023","2023",2977,3296.41
,"Gloucester County, NJ","34015","2024","2024",2912,3279.95
,"Hudson County, NJ","34017","2016","2016",10383,3208.70
,"Hudson County, NJ","34017","2017","2017",10165,3210.89
,"Hudson County, NJ","34017","2018","2018",10234,3206.60
,"Hudson County, NJ","34017","2019","2019",9975,3212.38
,"Hudson County, NJ","34017","2020","2020",9544,3223.08
,"Hudson County, NJ","34017","2021","2021",9118,3214.55
,"Hudson County, NJ","34017","2022","2022",9042,3201.46
,"Hudson County, NJ","34017","2023","2023",8655,3205.24
,"Hudson County, NJ","34017","2024","2024",9048,3202.90
,"Hunterdon County, NJ","34019","2016","2016",927,3357.23
,"Hunterdon County, NJ","34019","2017","2017",952,3346.15
,"Hunterdon County, NJ","34019","2018","2018",968,3334.07
,"Hunterdon County, NJ","34019","2019","2019",997,3326.45
,"Hunterdon County, NJ","34019","2020","2020",994,3311.33
,"Hunterdon County, NJ","34019","2021","2021",1053,3337.27
,"Hunterdon County, NJ","34019","2022","2022",1113,3309.40
,"Hunterdon County, NJ","34019","2023","2023",1025,3340.31
